"barrier_id","internal_name","watershed_group_code","structure_type","reason_for_exclusion","reason","supporting_links"
"198003","Trib to Nanika R @ Nanika FSR (198003)","MORR","Stream crossing - CBS","No key upstream habitat","Dry, poorly defined channel. Noted as unlikely fish habitat in field. ","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199083"
"198020","","MORR","Stream crossing - CBS","No key upstream habitat","No channel upstream or downstream","http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=199100"
