"barrier_id","internal_name","watershed_group_code","structure_owner","structure_type","partial_passability","partial_passability_notes","num_barriers_set","all_spawningrearing_belowupstrbarriers_km","next_steps"
"197360","Riddeck Cr @ Morice-Owen FSR (197360)","MORR","","Stream crossing - CBS","","",1,"1.34","Rehabilitation"
"197370","Owen Cr @ Morice W FSR (197370)","MORR","","Stream crossing - CBS","","",1,"0.91","Commission engineering designs"
"197379","Trib to Owen Cr. @ Morice-Owen FSR (197379)","MORR","","Stream crossing - CBS","","",1,"0.84","Rehabilitation"
