Individual or Organization Name,Role and Primary Interest
"Lana Miller, Sandra Devcic, Natalie Newman, Michael Gull - Fisheries and Oceans Canada (DFO)","DFO can assist with local knowledge and expertise and facilitate barrier rehabilitation work."
"Al Irvine, John DeGagne – Society for Ecological Restoration in Northern BC","Actively working on fish passage connectivity in the Morice River watershed and beyond. Key actor for completing and interpreting field investigations and facilitating rehabilitation planning and implementation."
"Eden Atkinson-Bruce, Cindy Verbeek – A Rocha Canada","A Rocha educates and coordinates environmental stewardship activities for local people and can advise and support where needed. A Rocha Canada works with local environmental organizations, churches, schools, governments and citizens to ensure the watershed is healthy and flourishing. They have bio-inventory surveying data, water temperature data, and can help ensure that salmon reach their spawning grounds."
"Michael Price – Adjunct Professor Simon Fraser University","Researcher in abundance, diversity and productivity of Pacific salmon."
"Lars Reese-Hansen – BC Fish Passage Technical Working Group","The provincial government of B.C. can assist with local knowledge, data, expertise and can help facilitate barrier rehabilitation work and are actively pursuing fish passage restoration work in the watershed."
